SKU_Code,Product_Name,Brand,Category,Actual_Total,Forecast_Total,Volume_Error_%,Volume_Accuracy_%,MAE,Bias,Bias_%,Train_Days,Test_Days,Performance_Category
571273,LAKMEABS 3DLIPSTICK 20WINEFLAIR 3.6GM,Lakme,MAKEUP,50.0,49.77133266029349,0.46,99.54,1.047879426353939,-0.22866733970651154,-0.46,126,23,Excellent
572056,LAKME9-5 MAT2GLASLIQLIPMB02BRWNSUGR7.6GM,Lakme,MAKEUP,41.0,40.76027436741224,0.58,99.42,1.0985705743358627,-0.23972563258776347,-0.58,138,21,Excellent
545190,LAKME 9TO5 P+M COMPACT NATURAL LIGHT9G,Lakme,MAKEUP,30.0,29.811657810547157,0.63,99.37,0.8691234428493971,-0.1883421894528432,-0.63,114,18,Excellent
570927,LBP ARGAN OIL & LAVENDER COND 200ML,LBP,HAIR CARE,189.0,187.43790651788947,0.83,99.17,2.8038539015927837,-1.5620934821105266,-0.83,232,29,Excellent
576872,LAKME 9TO5 HYA MAT LIPSTK AFTRHRSWINE3.6,Lakme,MAKEUP,61.0,60.422484763314905,0.95,99.05,1.164300387303305,-0.5775152366850946,-0.95,77,26,Excellent
530302,LAK ABS SHINE BLACK EL,Lakme,MAKEUP,117.0,118.62683473430285,1.39,98.61,1.8211941419096669,1.6268347343028466,1.39,224,29,Excellent
546818,LAKME LSE ULTRAMATTE COMPACT SPF40 7G,Lakme,SKIN,49.0,48.27904225644651,1.47,98.53,1.0695323734003883,-0.7209577435534911,-1.47,181,22,Excellent
574742,DOVE DAILY SHINE SHAMPOO 650 ML,DOVE,HAIR CARE,60.0,60.97292078011254,1.62,98.38,1.277380863171644,0.9729207801125384,1.62,144,23,Excellent
530299,LAK ABS DRY COMP 05 BEIGE HONEY,Lakme,MAKEUP,167.0,169.82093120644413,1.69,98.31,2.5282647638942164,2.820931206444129,1.69,227,30,Excellent
570972,SIMPLE VIT C CLAY MASK 50G,Simple,SKIN,137.0,134.1896487042599,2.05,97.95,1.601315329674199,-2.810351295740105,-2.05,225,29,Excellent
571139,LBP RICE WTR ANGLICA SEED OIL CNDTNR400M,LBP,HAIR CARE,32.0,32.70133655816269,2.19,97.81,0.999441015045297,0.7013365581626871,2.19,132,18,Excellent
571018,LAKME ABSOLUTE GLOW PRIMER,Lakme,MAKEUP,55.0,53.786359591376026,2.21,97.79,1.001639254459825,-1.2136404086239736,-2.21,177,26,Excellent
569803,LAKME ABSOL PERFECT RADIANCE SERUM 15ML,Lakme,SKIN,87.0,85.02832936645993,2.27,97.73,1.693628196750591,-1.9716706335400715,-2.27,188,27,Excellent
570943,LBP TEA TREE SHAMPOO 200ML,LBP,HAIR CARE,122.0,118.09046031507329,3.2,96.8,1.8025411424010256,-3.909539684926713,-3.2,156,28,Excellent
557438,LAKME 9TO5 EYECONIC EYELINER 4.5ML,Lakme,MAKEUP,140.0,144.7088711549422,3.36,96.64,1.3072650442847429,4.708871154942187,3.36,229,30,Excellent
571231,LAKME TRUEWEAR COLOR CRUSH 16,Lakme,MAKEUP,81.0,78.23058324286036,3.42,96.58,1.599470926508393,-2.7694167571396378,-3.42,208,25,Excellent
573338,LAKME ABS BND MAT LIP 501 BURGNDYBS3.4GM,Lakme,MAKEUP,46.0,44.3780903360373,3.53,96.47,0.8442143576725151,-1.6219096639626969,-3.53,128,23,Excellent
530343,LAK ABS MATTE 16H 01IVRY FAIR,Lakme,MAKEUP,93.0,96.93935600353896,4.24,95.76,1.782886738261518,3.939356003538961,4.24,204,24,Excellent
568960,LAKME LUMI CREAM SKIN 60G,Lakme,SKIN,65.0,67.84598583304603,4.38,95.62,1.099072817191047,2.8459858330460293,4.38,180,27,Excellent
571140,LBP RICE WTR ANGLICA SEED OIL SHAMPO400M,LBP,HAIR CARE,41.0,42.88175452462476,4.59,95.41,0.7785427640876729,1.8817545246247604,4.59,130,26,Excellent
574743,DOVE HAIR FALL RESCUE SHAMPOO 650 ML,DOVE,HAIR CARE,65.0,61.89677574909574,4.77,95.23,1.285868565045008,-3.103224250904262,-4.77,168,24,Excellent
548919,LAKME EYECONIC KAJAL DEEPBLCK TWIN 0.35G,Lakme,MAKEUP,616.0,645.7062874914072,4.82,95.18,6.881944117669401,29.706287491407238,4.82,232,30,Excellent
570929,LBP ARGAN OIL & LAVENDER SHP 200ML,LBP,HAIR CARE,123.0,129.11811491438638,4.97,95.03,1.5373258550289068,6.118114914386382,4.97,226,29,Excellent
574764,LAKME GLITTER LIPGLAZE 501BERRYSPRKLR5ML,Lakme,MAKEUP,59.0,55.77901743311257,5.46,94.54,1.1494672819412115,-3.220982566887429,-5.46,127,25,Excellent
549382,LAKME LIP LOVE CHAPSTICK STRAWBERRY 4.5G,Lakme,SKIN,46.0,48.66444611784569,5.79,94.21,1.2266110868363451,2.664446117845692,5.79,164,19,Excellent
571131,LBP ARGAN OIL SHAMPOO 400ML,LBP,HAIR CARE,154.0,144.88587680235264,5.92,94.08,2.1091905988434068,-9.11412319764736,-5.92,229,30,Excellent
531219,LAK PF RADIANCE NIGHT CRM 50G,Lakme,SKIN,46.0,48.91036595869837,6.33,93.67,0.9852642046200234,2.910365958698371,6.33,162,24,Excellent
571223,LAKME TRUEWEAR COLOR CRUSH 10,Lakme,MAKEUP,132.0,123.01064754939516,6.81,93.19,1.952831748778492,-8.98935245060484,-6.81,223,29,Excellent
530298,LAK ABS DRY COMP 03 GOLDN MED,Lakme,MAKEUP,124.0,115.51038994050464,6.85,93.15,1.4737486621106202,-8.489610059495362,-6.85,216,30,Excellent
545187,LAKME 9TO5 P+M COMPACT IVORY CREAM9G,Lakme,MAKEUP,51.0,54.50551059769332,6.87,93.13,1.2796268887075963,3.5055105976933234,6.87,182,23,Excellent
506280,LAK NE REMOVER,Lakme,MAKEUP,353.0,328.57129756898405,6.92,93.08,2.832148515973416,-24.42870243101595,-6.92,232,30,Excellent
571424,LAKME SOLUTION MASK BRIGHTENING 25ML,Lakme,SKIN,148.0,158.28009424315675,6.95,93.05,2.131750728630122,10.280094243156753,6.95,213,29,Excellent
573748,LAKME ULTIMATEGLAMCHROMENAIL PINK6ML,Lakme,MAKEUP,88.0,94.18139686508952,7.02,92.98,1.4559116192424917,6.181396865089525,7.02,185,28,Excellent
533402,LAK ABS WI W&D COMP ROSEFAIR02,Lakme,MAKEUP,78.0,72.35964874980587,7.23,92.77,1.16222793222313,-5.640351250194129,-7.23,197,28,Excellent
545230,LAKME CC HONEY 30G,Lakme,SKIN,76.0,81.7586968395715,7.58,92.42,1.8097012722349288,5.758696839571499,7.58,207,24,Excellent
573559,LAKME FACELIFT FND STICKNEUTRALALMOND,Lakme,MAKEUP,63.0,58.084867238132645,7.8,92.2,1.202115958701189,-4.915132761867355,-7.8,166,27,Excellent
506152,LAK 9TO5 FLAWLESS MATTE APRICT,Lakme,MAKEUP,47.0,50.67068895258269,7.81,92.19,1.2016966727398497,3.6706889525826867,7.81,148,23,Excellent
562946,LAKME LUMI SKIN CREAM 30G,Lakme,SKIN,47.0,50.7416361455388,7.96,92.04,1.1674929830858725,3.7416361455387985,7.96,176,22,Excellent
552236,LAKME ABS UNDERCOVER GEL PRIMER30ML,Lakme,MAKEUP,227.0,208.36588903082455,8.21,91.79,2.1221006251095114,-18.634110969175453,-8.21,229,30,Excellent
571235,LAKME TRUEWEAR COLOR CRUSH 202,Lakme,MAKEUP,140.0,128.18473558630586,8.44,91.56,2.0390617212669904,-11.815264413694138,-8.44,222,29,Excellent
570973,SIMPLE VIT C FACE WASH 150ML,Simple,SKIN,170.0,155.48784994434504,8.54,91.46,2.401775748818008,-14.512150055654956,-8.54,229,30,Excellent
554289,LAKME 9TO5 P+M FDN N220 NEUTRALMED25ML,Lakme,MAKEUP,50.0,54.39774731367185,8.8,91.2,1.0853634390562827,4.39774731367185,8.8,172,25,Excellent
567473,PEARS PURE & GENTLE BODY WASH 750 ML,PEARS,PW,39.0,42.505666139943415,8.99,91.01,0.8485208953708196,3.505666139943415,8.99,151,23,Excellent
571234,LAKME TRUEWEAR COLOR CRUSH 20,Lakme,MAKEUP,38.0,41.47365645873859,9.14,90.86,0.9802694072993472,3.4736564587385885,9.14,145,21,Excellent
570961,SIMPLE KIND TO SKN REFRESH FAC WSH 150ML,Simple,SKIN,348.0,380.7989809017559,9.42,90.58,3.3937335529552186,32.7989809017559,9.42,232,30,Excellent
570966,SIMPLE SERUM NIACINAMIDE 30 ML,Simple,SKIN,118.0,129.11006667256623,9.42,90.58,1.849989422197167,11.110066672566234,9.42,225,30,Excellent
570942,LBP ONION SHAMPOO 200ML,LBP,HAIR CARE,119.0,107.74416783268887,9.46,90.54,1.589094512793323,-11.255832167311127,-9.46,227,28,Excellent
506172,LAK INSTA LINER BLACK,Lakme,MAKEUP,86.0,77.7521947288538,9.59,90.41,1.3676322126260176,-8.247805271146206,-9.59,214,29,Excellent
570969,SIMPLE SKIN HYDRATING LIGHT MOISZ 125ML,Simple,SKIN,213.0,234.01074894394156,9.86,90.14,2.5754130018775845,21.010748943941564,9.86,232,30,Excellent
571225,LAKME TRUEWEAR COLOR CRUSH 103,Lakme,MAKEUP,140.0,126.10523461187168,9.92,90.08,2.0097949749362125,-13.89476538812832,-9.92,224,29,Excellent
571248,LAKME TRUEWEAR COLOR CRUSH 404,Lakme,MAKEUP,128.0,114.3523766764398,10.66,89.34,1.873008734679,-13.647623323560197,-10.66,211,29,Excellent
555350,LAKME TE FRVR LIQ LIP NUDEPINK,Lakme,MAKEUP,37.0,41.0638921495783,10.98,89.02,0.7875845323749615,4.063892149578301,10.98,120,21,Excellent
571238,LAKME TRUEWEAR COLOR CRUSH 236,Lakme,MAKEUP,42.0,37.31365311049425,11.16,88.84,1.108517493668017,-4.686346889505749,-11.16,116,20,Excellent
571947,LAKME BIPHASIC MAKEUP REMOVER 200ML,Lakme,SKIN,44.0,48.97104268531919,11.3,88.7,1.2188931400973215,4.9710426853191905,11.3,133,20,Excellent
570959,SIMPLE KIND TO SKIN MOIST FAC WSH 150ML,Simple,SKIN,72.0,80.17254629906658,11.35,88.65,1.4222846906187423,8.172546299066582,11.35,204,26,Excellent
569124,LAKME ABS CREME CONCEALER 38 WALNUT 3.9G,Lakme,MAKEUP,48.0,42.453871373213694,11.55,88.45,0.9947162009943966,-5.546128626786306,-11.55,145,24,Excellent
570940,LBP ONION BLKSEED&PATCHOULI HAIROIL 200M,LBP,HAIR CARE,76.0,67.11790585952868,11.69,88.31,1.4912305642682613,-8.882094140471324,-11.69,154,24,Excellent
506150,LAK ROSE POWDER SOFT PINK,Lakme,MAKEUP,156.0,137.75684897160284,11.69,88.31,1.8160113630089705,-18.243151028397165,-11.69,225,29,Excellent
570976,SIMPLE WATER BOOST FACE WASH 150ML,Simple,SKIN,60.0,52.958496948025974,11.74,88.26,1.1881613250815888,-7.041503051974026,-11.74,201,25,Excellent
553093,PONDS PURE WHITE FACE WASH150G,Ponds,SKIN,44.0,38.83460182111865,11.74,88.26,1.1955276036310758,-5.165398178881347,-11.74,109,22,Excellent
540363,LAK 9TO5 WGTLESS M BEIG VANILA,Lakme,MAKEUP,38.0,42.57466048351724,12.04,87.96,1.2197868278260449,4.574660483517242,12.04,154,17,Excellent
533770,LAK CC CREAM BEIGE 30GM,Lakme,SKIN,100.0,112.15278366610636,12.15,87.85,1.530415126491791,12.152783666106359,12.15,224,29,Excellent
570967,SIMPLE SERUM VIT CEF 30 ML,Simple,SKIN,91.0,102.46932669710404,12.6,87.4,1.6598648450523583,11.469326697104037,12.6,222,28,Excellent
532009,LAK EYECONIC CURLING MASCARA,Lakme,MAKEUP,79.0,68.8368277436813,12.86,87.14,0.9277267759351971,-10.163172256318703,-12.86,211,29,Excellent
555904,LAKME ABS 3D LIPSTICK 04 PLUM SPELL,Lakme,MAKEUP,39.0,33.87174817705574,13.15,86.85,0.8473952222963107,-5.128251822944257,-13.15,159,21,Excellent
506173,LAK EYBROW PENCIL,Lakme,MAKEUP,135.0,117.22457096897706,13.17,86.83,2.6721247693226458,-17.775429031022938,-13.17,223,27,Excellent
576887,LAKME 9TO5 HYA MAT LIQ CONCLR ALMOND 2ML,Lakme,MAKEUP,63.0,71.30744830892311,13.19,86.81,1.0526024121600246,8.307448308923114,13.19,89,27,Excellent
571136,LBP CURRY LEAVES SHAMPOO 400ML,LBP,HAIR CARE,43.0,48.91953636952836,13.77,86.23,1.0432914961851647,5.919536369528359,13.77,152,26,Excellent
570977,SIMPLE WATER BOOST GEL CREAM 50G,Simple,SKIN,60.0,51.64205503366177,13.93,86.07,1.3738980532413094,-8.35794496633823,-13.93,194,25,Excellent
530297,LAK ABS DRY COMP 01 IVRY FR,Lakme,MAKEUP,126.0,143.8997564150871,14.21,85.79,1.7707079198836122,17.899756415087097,14.21,223,29,Excellent
506153,LAK 9TO5 FLAWLESS MATTE MELON,Lakme,MAKEUP,58.0,66.69424230755082,14.99,85.01,1.287455628854013,8.694242307550823,14.99,193,23,Excellent
571253,LAKME TRUEWEAR COLOR CRUSH 43,Lakme,MAKEUP,59.0,50.14537315647527,15.01,84.99,1.3444425049806743,-8.854626843524727,-15.01,131,24,Excellent
549381,LAKME LIP LOVE CHAPSTICK CHERRY 4.5G,Lakme,SKIN,72.0,60.89875844709864,15.42,84.58,1.4138129652396971,-11.101241552901357,-15.42,202,23,Excellent
533771,LAK CC CREAM BRONZE 30GM,Lakme,SKIN,69.0,79.79515299729636,15.65,84.35,0.991447607329565,10.795152997296356,15.65,210,28,Excellent
555348,LAKME TE FRVR LIQ LIP NUDEDREAM,Lakme,MAKEUP,43.0,49.86972284642108,15.98,84.02,1.1556068313960817,6.869722846421077,15.98,129,22,Excellent
553858,PONDS SUPER LIGHT GEL 49G,Ponds,SKIN,44.0,51.33530201640111,16.67,83.33,1.0430739354127911,7.3353020164011085,16.67,203,22,Excellent
570292,TRES GLOSS ULTIMATE HAIR SERUM 50ML,TRESEMME,HAIR CARE,72.0,84.73235780353194,17.68,82.32,1.1312442961447269,12.73235780353194,17.68,187,30,Excellent
570970,SIMPLE SKIN MICELLAR CLEG WATER 200ML,Simple,SKIN,121.0,99.39431460592228,17.86,82.14,2.094646662149348,-21.605685394077724,-17.86,213,27,Excellent
526584,LAK PF RADIANCE DAY CRM 50GM,Lakme,SKIN,116.0,136.85211781013723,17.98,82.02,1.8921095773029608,20.85211781013723,17.98,223,28,Excellent
567374,LAKME BLUSHGLOW POMEGRANATE SHET MSK25ML,Lakme,SKIN,38.0,44.89410575566424,18.14,81.86,1.0515774968908531,6.894105755664242,18.14,138,22,Excellent
573030,LAKME ABS LASHBOOSTEXTREMEMASCARA10ML,Lakme,MAKEUP,48.0,39.21923684483301,18.29,81.71,0.9679315896571102,-8.780763155166987,-18.29,95,23,Excellent
571135,LBP CURRY LEAVES SHAMPOO 200ML,LBP,HAIR CARE,31.0,36.67265583938751,18.3,81.7,0.7770982901650413,5.6726558393875095,18.3,155,20,Excellent
570965,SIMPLE SERUM HA+B5 30 ML,Simple,SKIN,45.0,36.69902427454157,18.45,81.55,1.0684305608112858,-8.300975725458429,-18.45,168,21,Excellent
571249,LAKME TRUEWEAR COLOR CRUSH 415,Lakme,MAKEUP,74.0,60.21894670520312,18.62,81.38,1.2258247781497478,-13.781053294796877,-18.62,152,27,Excellent
567389,INDULEK BRINGA HR CLENSR XL BTL 580ML,INDULEKHA,HAIR CARE,53.0,63.03170148522904,18.93,81.07,1.3736101169253263,10.031701485229043,18.93,150,22,Excellent
531224,PONDS WB SPF20 DC 35G,Ponds,SKIN,35.0,41.64526201321009,18.99,81.01,0.9661898166820302,6.645262013210093,18.99,139,22,Excellent
551009,LAKME PEACH MILK SOFT CREME 200G,Lakme,SKIN,76.0,61.52277262119586,19.05,80.95,1.6129700515460264,-14.477227378804137,-19.05,159,25,Excellent
571440,LAKME PERFDEFNTN LIPLINER BLACK CURRANT,Lakme,MAKEUP,5.0,4.0466064370330805,19.07,80.93,1.2923723481475828,-0.9533935629669195,-19.07,120,5,Excellent
553092,LAKME STRAWBERRY FACEWASH 150G,Lakme,SKIN,104.0,124.5783077924014,19.79,80.21,1.743896082702996,20.578307792401404,19.79,177,29,Excellent
570975,SIMPLE VITC HYD GEL40G,Simple,SKIN,168.0,132.96001102861757,20.86,79.14,2.319097154225823,-35.03998897138243,-20.86,228,30,Good
538746,LAK ABS GLS ARTIST BLACK 2.5M,Lakme,MAKEUP,64.0,77.40428399770056,20.94,79.06,1.5640908505463749,13.40428399770056,20.94,194,24,Good
568976,VASELINE LIP TINS ROSY LIP 17G,Vaseline,SKIN,214.0,259.24012315468053,21.14,78.86,3.131770028691488,45.24012315468053,21.14,197,30,Good
570971,SIMPLE SKIN PROTG LGT MOISZ SPF15 125ML,Simple,SKIN,98.0,77.0891116104654,21.34,78.66,1.628807258430964,-20.910888389534605,-21.34,228,29,Good
562036,LAKME 9-5 P+M LIPMR5BERRYBASE 3.6G,Lakme,MAKEUP,25.0,30.37915555571074,21.52,78.48,0.8874626478505753,5.379155555710739,21.52,110,16,Good
569117,LAKME 9TO5 WET&DRY COMPACT 34 ALMOND9G,Lakme,MAKEUP,35.0,42.59117247319031,21.69,78.31,0.8439727946311656,7.591172473190312,21.69,121,21,Good
531179,LAK SUN UV SPF50 NOR-DRY 100ML,Lakme,SKIN,45.0,35.206884189828536,21.76,78.24,1.1760581048632994,-9.793115810171464,-21.76,204,19,Good
568974,VASELINE LIP TINS COCOA BUTTER 17G,Vaseline,SKIN,82.0,100.33131840912274,22.36,77.64,1.546448406687814,18.331318409122744,22.36,167,25,Good
571133,LBP COCONUT WTR &MIMOSA FLWR SH 200ML,LBP,HAIR CARE,35.0,42.88753469749867,22.54,77.46,0.7286878484359502,7.887534697498673,22.54,149,23,Good
554290,LAKME 9TO5 P+M FDN W240 WARM BEIGE 25ML,Lakme,MAKEUP,71.0,54.97596440107024,22.57,77.43,1.222266299749331,-16.024035598929757,-22.57,168,27,Good
506527,LAK JEWEL SINDOOR MAROON,Lakme,MAKEUP,161.0,124.51569066919116,22.66,77.34,2.7415450611122867,-36.48430933080884,-22.66,200,30,Good
564881,LAKME ABS EXPEYEPNCIL MYSTERIUSBLACK1.2G,Lakme,MAKEUP,80.0,98.31505091099748,22.89,77.11,1.6236896478881029,18.315050910997485,22.89,135,24,Good
540362,LAK 9TO5 WGTLESS M ROSE IVRY,Lakme,MAKEUP,37.0,45.945069664257,24.18,75.82,0.9898426400791656,8.945069664256998,24.18,147,19,Good
568975,VASELINE LIP TINS ORIGINAL 17G,Vaseline,SKIN,51.0,63.40050705969149,24.31,75.69,0.9791138084022044,12.400507059691492,24.31,196,25,Good
540364,LAK 9TO5 WGTLESS M BEIG CARAML,Lakme,MAKEUP,38.0,47.43045168875685,24.82,75.18,1.1003070513523634,9.430451688756847,24.82,133,20,Good
572034,LAKME ABSSKINDEWLIP 102NUDEROSE 3.6GM,Lakme,MAKEUP,53.0,39.702281414259645,25.09,74.91,1.119778886687542,-13.297718585740355,-25.09,147,23,Good
545191,LAKME 9TO5 P+M COMPACT HONEY DEW9G,Lakme,MAKEUP,36.0,45.25828791326466,25.72,74.28,1.0036684857521756,9.25828791326466,25.72,144,21,Good
541958,LAK ABS BLUR PERFECT PRIMER,Lakme,MAKEUP,209.0,154.89348937984417,25.89,74.11,2.2152713256421053,-54.10651062015583,-25.89,230,30,Good
562028,LAKME 9-5 P+M LIPMP6DEEPWINE 3.6G,Lakme,MAKEUP,29.0,36.538639124092455,26.0,74.0,0.8310895915181754,7.538639124092455,26.0,125,19,Good
553094,PONDS WHITE BEAUTY FACEWASH 150G,Ponds,SKIN,78.0,57.460138823286414,26.33,73.67,1.9639884747398864,-20.539861176713586,-26.33,125,23,Good
545831,LAKME PEACH MILK SOFT CREME 50G,Lakme,SKIN,30.0,37.95235427485872,26.51,73.49,1.003662639299188,7.95235427485872,26.51,134,18,Good
535858,LAK PR WHITE LIGHT DAY CRM 50G,Lakme,SKIN,89.0,64.81250224620723,27.18,72.82,1.5885793081891848,-24.18749775379277,-27.18,209,27,Good
563824,LAKME EYECONIC VOLUMIZING BLACK MASCARA,Lakme,MAKEUP,95.0,121.4309467064084,27.82,72.18,1.7439923192080822,26.430946706408406,27.82,221,29,Good
555903,LAKME ABS 3D LIPSTICK 03 MAROON MAGIC,Lakme,MAKEUP,39.0,28.117013887660782,27.91,72.09,0.8778158742851649,-10.882986112339218,-27.91,146,22,Good
574098,LAKME MU+SC VITC SG CONCLR 30CINMN5.4ML,Lakme,MAKEUP,23.0,29.51161975243292,28.31,71.69,0.8184119796844234,6.511619752432921,28.31,117,17,Good
532008,LAK EYECONIC KAJAL 0.35GM,Lakme,MAKEUP,237.0,168.61100227603734,28.86,71.14,3.193490070320205,-68.38899772396266,-28.86,230,30,Good
574746,TRESEMME SMOOTH & SHINE SHAMPOO 580 ML,TRESEMME,HAIR CARE,53.0,68.39187087036913,29.04,70.96,1.5376293268550163,15.391870870369132,29.04,149,22,Good
545189,LAKME 9TO5 P+M COMPACT SILAKMEY GOLDEN9G,Lakme,MAKEUP,42.0,54.45345450340101,29.65,70.35,1.0746339531207214,12.453454503401012,29.65,200,23,Good
555909,LAKME ABS 3D LIPSTICK 09 WINE WHISPER,Lakme,MAKEUP,56.0,39.27727453755497,29.86,70.14,1.0069086686416997,-16.722725462445027,-29.86,160,26,Good
568967,PONDS SUPER LIGHT GEL 247G,Ponds,SKIN,64.0,44.760556406374455,30.06,69.94,1.263088582070916,-19.239443593625545,-30.06,158,25,Good
